Batch,FieldID,Distance,PlantID,LocationDensity,RepStage,Date,LeafN
2,D25,Close,D25_B_05,plug,early,9/24/20,12
2,D26,Close,D26_B_24,plug,early,9/23/20,12
1,D06,Close,D06_T2_15,tray,late,1/13/20,13
2,D16,Middle,D16_T1_08,plug,late,10/12/20,13
2,D20,Close,D20_B_48,plug,late,10/21/20,13
2,D21,Far,D21_T1_08,tray,late,3/1/21,13
2,D22,Far,D22_T2_05,tray,late,3/11/21,13
2,D22,Far,D22_B_19,plug,late,9/14/20,13
2,D23,Close,D23_B_04,plug,late,9/30/20,13
1,D02,Middle,D02_T1_03,plug,late,12/17/19,14
1,D02,Middle,D02_B_07,plug,late,12/17/19,14
1,D06,Close,D06_T2_04,tray,late,1/13/20,14
1,D13,Middle,D13_T2_13,plug,late,1/3/20,14
1,D13,Middle,D13_T1_12,plug,late,1/3/20,14
1,D14,Close,D14_B_35,plug,late,1/28/20,14
2,D16,Middle,D16_T1_06,plug,late,10/12/20,14
2,D17,Close,D17_B_08,plug,late,11/4/20,14
2,D19,Middle,D19_T2_02,tray,late,2/19/21,14
2,D22,Far,D22_T2_01,tray,late,3/11/21,14
2,D23,Close,D23_B_05,plug,late,9/30/20,14
2,D24,Middle,D24_T1_07,tray,late,2/22/21,14
2,D26,Close,D26_B_13,plug,late,9/23/20,14
2,D28,Close,D28_B_07,plug,early,7/1/20,14
2,D28,Close,D28_B_01,plug,late,7/1/20,14
1,D02,Middle,D02_B_06,plug,late,12/17/19,15
1,D13,Middle,D13_T2_08,plug,late,12/17/19,15
2,D15,Close,D15_B_08,plug,late,6/11/20,15
