ID,Geno,SizeRE,Genotype,PotPlug,Density,Chamber,Tray,Season,MatFr,ImmFr,Flowers,BasBr,PrimBr,TotBr,Height,FailedFr,LeafNum,Diam,Leaves dead when measured (Y= yes),SizeOrig
58,B,Small,E16_T1_26,Plug,High,R25B,2,Early,21,25,NA,1,3,4,189,1,16,51.04,NA,Big
4,I,Big,E16_20,Pot,High,R24B,NA,Late,21,NA,2,1,1,2,197,3,NA,NA,NA,Big
155,A,Small,E03_T1_29,Plug,High,R25B,NA,Late,21,NA,1,1,4,5,182,0,NA,NA,NA,Small
154,A,Small,E03_T1_29,Plug,High,R25B,1,Early,22,0,NA,1,6,7,26,0,24,35.1,NA,Small
172,D,Small,E03_T1_35,Plug,High,R24B,1,Early,22,1,NA,1,0,1,212,0,26,41.31,NA,Small
177,D,Small,E03_T1_35,Plug,High,R23T,1,Early,22,19,NA,1,7,8,289,0,24,32.58,NA,Small
288,F,Small,E03_06,Pot,Low,R25T,1,Early,22,117,NA,1,6,7,45,7,45,83.29,NA,Small
149,A,Small,E03_T1_29,Plug,High,R24B,NA,Late,22,NA,1,1,1,2,18,1,NA,NA,NA,Small
179,D,Small,E03_T1_35,Plug,High,R25B,NA,Late,22,NA,0,1,2,3,199,0,NA,NA,NA,Small
66,B,Small,E16_T1_26,Plug,Low,R24T,2,Early,24,211,NA,1,10,11,30,1,40,112.08,NA,Big
174,D,Small,E03_T1_35,Plug,High,R24B,NA,Late,24,NA,0,1,0,1,206,1,NA,NA,NA,Small
11,I,Big,E16_20,Pot,High,R25B,NA,Late,24,NA,1,1,2,3,22,1,NA,NA,NA,Big
34,E,Small,E16_T1_30,Plug,High,R25B,NA,Late,24,NA,0,1,2,3,126,0,NA,NA,NA,Big
148,A,Small,E03_T1_29,Plug,High,R24B,NA,Late,24,NA,0,1,3,4,16,0,NA,NA,NA,Small
178,D,Small,E03_T1_35,Plug,High,R25B,NA,Late,26,NA,0,1,3,4,194,0,NA,NA,NA,Small
45,E,Small,E16_T1_30,Plug,Low,R20B,1,Early,27,133,NA,1,5,6,474,0,39,85.43,NA,Big
